{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0004965807800027706, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0020893917292484, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0003563503232218221, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0014993679066768, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00015708015747429408, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0006608972427642, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.209613473813503e-05, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0010619330473052, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.9395414732193408e-05, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0004329196211768, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 2.706772777853535e-05, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0003986948573735, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.5132555557153841e-05, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0002229147103814, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.4665928162240755e-06, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0000510421336553, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.035429862801231e-06, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.000103628475183, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.01994339708311138, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.115732328938635, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.006907520872402552, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0400846279666616, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0004906777457170958, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0028474156789884, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0019128521412117645, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0111004607372498, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0004714189130027187, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0027356753540047, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00037647846018672084, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.002184857060178, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.022718763518288394, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.069416541113922, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.008593706302440248, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.026257955832296, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004978784946971803, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0152123742405543, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0022861075433131197, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0069852600906581, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0011290537698387274, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0034497833567881, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00047843439682124434, 'shap_norm_sq': 1742.010090162972, 'weighted_error': 1.0014618877058865, 'gamma': 0.6323371507572394, 'normalized_gamma': 0.00036}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.003925068795754484, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0021378479355147, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.004702684249166302, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0025614217175913, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.003739649688791922, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0020368989271893, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0011331205216809374, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.000617167775213, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0009497274525962283, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0005172801230982, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00035539796027569807, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0001935683481855, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00039559264210807895, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0012016733048437, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.00012288490470442756, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0003732920845592, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 8.069522103070181e-05, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0002451411121693, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.0996814633952986e-05, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0000941611047418, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 5.726018664494656e-06, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.000017394671169, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.442157187195384e-06, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.000022604725887, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0017462771249365505, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0037365166247847, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
