{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0004426868620478256, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0018626027375799, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00010872265014194705, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 1.0004574426904667, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 2.3974178322914464e-13, 'shap_norm_sq': 1910.2052775098996, 'weighted_error': 0.9999999999994281, 'gamma': 0.25773202677179563, 'normalized_gamma': 0.00013}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0028209727684849616, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.041553104356197, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 100, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.0016676467383209405, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.024564525023756, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 200, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.000216423675655809, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.003187969958237, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 400, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.00011397125569030898, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.001678721912806, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 800, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 6.78918583081436e-05, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 1.0010000257542744, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 1600, 'difference': -576, 'noise': 0, 'n': 10, 'shap_error': 5.113881934097397e-13, 'shap_norm_sq': 1422.226326224394, 'weighted_error': 0.9999999999937775, 'gamma': 0.07416028255007456, 'normalized_gamma': 5.2e-05}
{'sample_size': 50, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': 0.009086426836703637, 'shap_norm_sq': 6791.0212753913975, 'weighted_error': 1.0527290723283622, 'gamma': 0.2885894905408731, 'normalized_gamma': 4.2e-05}
