{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 4.1183441087825656e-05, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0001118204615842, 'gamma': 0.5669633206044786, 'normalized_gamma': 5.7}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 4.3635322178584394e-05, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.000118473905881, 'gamma': 0.5669633206044786, 'normalized_gamma': 5.7}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 7.125665435077427e-05, 'shap_norm_sq': 0.099927064741304, 'weighted_error': 1.0001934732716455, 'gamma': 0.5669633206044786, 'normalized_gamma': 5.7}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.006738878044738184, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.05732366618089, 'gamma': 0.1460314567349837, 'normalized_gamma': 2.1}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00188473001682603, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0160322913408117, 'gamma': 0.1460314567349837, 'normalized_gamma': 2.1}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0011658386679119785, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0099170709617793, 'gamma': 0.1460314567349837, 'normalized_gamma': 2.1}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0004949031602770052, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0042098208993269, 'gamma': 0.1460314567349837, 'normalized_gamma': 2.1}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0002651852066009534, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.0022557674077626, 'gamma': 0.1460314567349837, 'normalized_gamma': 2.1}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00013703812243945595, 'shap_norm_sq': 0.06982142258378178, 'weighted_error': 1.00116571491307, 'gamma': 0.1460314567349837, 'normalized_gamma': 2.1}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.003177695309213597, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0087962566084654, 'gamma': 0.5925457620608439, 'normalized_gamma': 32.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00046385339431005224, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0012840115264874, 'gamma': 0.5925457620608439, 'normalized_gamma': 32.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.00041430483793296715, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0011468473684286, 'gamma': 0.5925457620608439, 'normalized_gamma': 32.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0002873819655075109, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0007955130628685, 'gamma': 0.5925457620608439, 'normalized_gamma': 32.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00034252588587185535, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0009481624488903, 'gamma': 0.5925457620608439, 'normalized_gamma': 32.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 7.94155940323507e-05, 'shap_norm_sq': 0.01858869127208251, 'weighted_error': 1.0002198293264808, 'gamma': 0.5925457620608439, 'normalized_gamma': 32.0}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.03501819914612387, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.108742397254989, 'gamma': 0.3274769315038073, 'normalized_gamma': 8.8}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.006482207653231422, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0201293201499801, 'gamma': 0.3274769315038073, 'normalized_gamma': 8.8}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.007234373147642238, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0224650689938513, 'gamma': 0.3274769315038073, 'normalized_gamma': 8.8}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0006722913802861285, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0020876994153605, 'gamma': 0.3274769315038073, 'normalized_gamma': 8.8}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00048303745461328833, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0014999688933943, 'gamma': 0.3274769315038073, 'normalized_gamma': 8.8}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0026425798948350523, 'shap_norm_sq': 0.03706858432595445, 'weighted_error': 1.0082059978045121, 'gamma': 0.3274769315038073, 'normalized_gamma': 8.8}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.003116414146245719, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0037992671822562, 'gamma': 0.831352388366863, 'normalized_gamma': 250.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0026356236393791, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0032131387080547, 'gamma': 0.831352388366863, 'normalized_gamma': 250.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0008088664589818431, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.000986099119532, 'gamma': 0.831352388366863, 'normalized_gamma': 250.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 3.49575649782361e-05, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0000426164234069, 'gamma': 0.831352388366863, 'normalized_gamma': 250.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0001536694811569508, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.0001873401731676, 'gamma': 0.831352388366863, 'normalized_gamma': 250.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 2.2753149200257465e-05, 'shap_norm_sq': 0.003320776812407898, 'weighted_error': 1.000027737754364, 'gamma': 0.831352388366863, 'normalized_gamma': 250.0}
