{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.0007939505517879831, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0004324361250883, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0006999554450332573, 'shap_norm_sq': 4175.836153111268, 'weighted_error': 1.0003812411087953, 'gamma': 1.868176373368519, 'normalized_gamma': 0.00045}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.0005420211919737732, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0016464976166042, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.0003533425659126782, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0010733674300654, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.00038877940554662375, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0011809950592596, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 5.783727606447352e-05, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0001756798885355, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 1.6712494013198515e-05, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0000507762174478, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 2.1485622377445023e-06, 'shap_norm_sq': 1557.345174104217, 'weighted_error': 1.0000065256583834, 'gamma': 0.4316769917631658, 'normalized_gamma': 0.00028}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.0037093492951362056, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0079368632768138, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.004742995136824975, 'shap_norm_sq': 1215.3524434271892, 'weighted_error': 1.0101486952832486, 'gamma': 0.4685802990911461, 'normalized_gamma': 0.00039}
