{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 8.499408134636692e-05, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0047983815830943, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 2.125658152274624e-05, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.001199902451705, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 8.574766745014187e-05, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0048410014650284, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 4.812312702754545e-06, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.000271595062967, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 4.5529632300701675e-06, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0002571501618367, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 9.435411336801922e-06, 'shap_norm_sq': 0.8227908169891888, 'weighted_error': 1.0005326023038459, 'gamma': 0.025446501871017397, 'normalized_gamma': 0.031}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 9.59179587054909e-05, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0001168772356448, 'gamma': 0.8207580413642477, 'normalized_gamma': 2.5}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 5.686427683328637e-06, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000069310970547, 'gamma': 0.8207580413642477, 'normalized_gamma': 2.5}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 2.3461549308422155e-05, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000285878721233, 'gamma': 0.8207580413642477, 'normalized_gamma': 2.5}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 3.438104658206938e-05, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0000418923508134, 'gamma': 0.8207580413642477, 'normalized_gamma': 2.5}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 9.737709325502427e-05, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.0001186501686443, 'gamma': 0.8207580413642477, 'normalized_gamma': 2.5}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.8634392529145704e-05, 'shap_norm_sq': 0.33225755649757316, 'weighted_error': 1.00002270470034, 'gamma': 0.8207580413642477, 'normalized_gamma': 2.5}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 1.4045723551626934e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494, 'gamma': 0.0016923723566432266, 'normalized_gamma': 0.0016}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.4045723551626934e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494, 'gamma': 0.0016923723566432266, 'normalized_gamma': 0.0016}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 1.4045723551626934e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494, 'gamma': 0.0016923723566432266, 'normalized_gamma': 0.0016}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 1.4045723551626934e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494, 'gamma': 0.0016923723566432266, 'normalized_gamma': 0.0016}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 1.4045723551626934e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494, 'gamma': 0.0016923723566432266, 'normalized_gamma': 0.0016}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.4045723551626934e-13, 'shap_norm_sq': 1.0498634756010365, 'weighted_error': 0.9999999999435494, 'gamma': 0.0016923723566432266, 'normalized_gamma': 0.0016}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 2.3007629487201163e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999461180631, 'gamma': 0.2699881042572434, 'normalized_gamma': 20000.0}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 2.3007629487201163e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999461180631, 'gamma': 0.2699881042572434, 'normalized_gamma': 20000.0}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 2.321989324578967e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999461084934, 'gamma': 0.2699881042572434, 'normalized_gamma': 20000.0}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 2.362896356914962e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999460677323, 'gamma': 0.2699881042572434, 'normalized_gamma': 20000.0}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 2.341030291352604e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999460751918, 'gamma': 0.2699881042572434, 'normalized_gamma': 20000.0}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 2.3522575227152675e-08, 'shap_norm_sq': 1.3209010669258856e-05, 'weighted_error': 0.9999999460707112, 'gamma': 0.2699881042572434, 'normalized_gamma': 20000.0}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 1.3028119247277357e-09, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000073788308408, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 2.2824761765629034e-09, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.000012921241324, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 3.187976589825243e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.000001840464464, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 2.269911159592272e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000013236371832, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 6.245994982105926e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000035621259271, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 9.881091047426527e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000005343659628, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 1.2659729818246988e-09, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000073717691729, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 1.2941118969076475e-09, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000073869190538, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 8.443368917983826e-11, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000004605430486, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 5.128831609415258e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000028627801751, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 7.001416143392668e-10, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000039332246764, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.3766575946493105e-12, 'shap_norm_sq': 0.9783363101796527, 'weighted_error': 1.0000000054663039, 'gamma': 0.00023416898742162278, 'normalized_gamma': 0.00024}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 0.002377402863047163, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0089275305941816, 'gamma': 0.266318136319129, 'normalized_gamma': 1100.0}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 0.000387705403367158, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0014560612839862, 'gamma': 0.266318136319129, 'normalized_gamma': 1100.0}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 0.00016847938157629833, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0006319704562165, 'gamma': 0.266318136319129, 'normalized_gamma': 1100.0}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 0.0005490334668457994, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0020619339148231, 'gamma': 0.266318136319129, 'normalized_gamma': 1100.0}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 5.368857734557588e-05, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.0002014652042812, 'gamma': 0.266318136319129, 'normalized_gamma': 1100.0}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.572365575326162e-05, 'shap_norm_sq': 0.00024535356900900866, 'weighted_error': 1.000058863207962, 'gamma': 0.266318136319129, 'normalized_gamma': 1100.0}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
