{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.2603406972988734e-14), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(0.9999999999998391)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(3.2796809928690884e-14), 'shap_norm_sq': np.float64(0.004234655622962576), 'weighted_error': np.float64(0.9999999999998384)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9929425946500996), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.6357582938043054)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9895459055454205), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.6335834770335358)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.926336628256432), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.5931120331336466)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7533491324174124), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.482352171249119)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.22048833692248887), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.1411736393617324)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.18789709914588992), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.1203061228511306)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.03649409366523875), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.0233662808940518)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0004780820394109345), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(1.0003061042115986)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(7.09663038393523e-14), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(0.9999999999999676)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(5.2628193901761626e-14), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(0.999999999999966)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(5.5077401433822315e-14), 'shap_norm_sq': np.float64(0.0013794551445642), 'weighted_error': np.float64(0.9999999999999657)}
